team,season,games_played,xgf_pg,xga_pg,gf_pg,ga_pg
DAL,2013,82,2.9484146341463418,2.9223170731707317,2.817073170731707,2.707317073170732
DET,2013,82,2.5741463414634147,2.5039024390243902,2.6463414634146343,2.6951219512195124
EDM,2013,82,2.513658536585366,3.1179268292682925,2.426829268292683,3.2560975609756095
FLA,2013,82,2.489390243902439,2.831829268292683,2.292682926829268,3.1951219512195124
LAK,2013,82,2.901341463414634,2.471829268292683,2.4146341463414633,2.048780487804878
MIN,2013,82,2.333170731707317,2.298170731707317,2.426829268292683,2.4146341463414633
MTL,2013,82,2.596341463414634,2.727560975609756,2.548780487804878,2.451219512195122
NJD,2013,82,2.4840243902439023,2.162682926829268,2.402439024390244,2.3780487804878048
NSH,2013,82,2.4857317073170733,2.3823170731707317,2.6097560975609757,2.841463414634146
NYI,2013,82,2.8667073170731707,2.8903658536585364,2.6341463414634148,3.182926829268293
NYR,2013,82,2.76109756097561,2.5846341463414633,2.6097560975609757,2.317073170731707
OTT,2013,82,2.761829268292683,2.918780487804878,2.792682926829268,3.1463414634146343
PHI,2013,82,2.895731707317073,2.6886585365853657,2.841463414634146,2.768292682926829
PIT,2013,82,2.6132926829268293,2.3997560975609757,2.951219512195122,2.4878048780487805
SJS,2013,82,3.2821951219512195,2.262560975609756,2.9146341463414633,2.3536585365853657
STL,2013,82,2.5908536585365853,2.317073170731707,2.9146341463414633,2.292682926829268
TBL,2013,82,2.7641463414634146,2.676341463414634,2.8292682926829267,2.548780487804878
TOR,2013,82,2.4915853658536586,3.3534146341463416,2.707317073170732,3.073170731707317
VAN,2013,82,2.510609756097561,2.542439024390244,2.3292682926829267,2.6341463414634148
WPG,2013,82,2.7897560975609754,2.8740243902439024,2.6707317073170733,2.817073170731707
WSH,2013,82,2.6679268292682927,2.9682926829268292,2.7439024390243905,2.792682926829268
ANA,2014,82,2.6491463414634144,2.5140243902439026,2.7804878048780486,2.6951219512195124
ARI,2014,82,2.4073170731707316,3.102560975609756,2.0121951219512195,3.2560975609756095
BOS,2014,82,2.589512195121951,2.486951219512195,2.548780487804878,2.451219512195122
BUF,2014,82,2.0857317073170734,3.222439024390244,1.8658536585365855,3.2804878048780486
CAR,2014,82,2.640731707317073,2.5447560975609753,2.231707317073171,2.6707317073170733
CBJ,2014,82,2.575853658536585,2.894268292682927,2.768292682926829,3.024390243902439
CGY,2014,82,2.683780487804878,2.7260975609756097,2.8902439024390243,2.597560975609756
CHI,2014,82,2.9453658536585365,2.6086585365853656,2.682926829268293,2.268292682926829
COL,2014,82,2.51390243902439,3.1176829268292683,2.548780487804878,2.7195121951219514
DAL,2014,82,3.106829268292683,2.8656097560975606,3.1341463414634148,3.1341463414634148
